proposalId;contract
842785851;5184278585120
842784359;2284278435920
842787864;4784278786420
842772753;9684277275320
842772916;9684277291620
842773025;9684277302520
842772818;9684277281820
842773125;9684277312520
842770048;4784277004820
842770201;4784277020120
842786141;2284278614120
842785919;2284278591920
842781426;5184278142620
842785334;8984278533420
842770510;2284277051020
842786739;4784278673920
842791687;8984279168720
842783943;2284278394320
842772404;2284277240420
842773196;8984277319620
842801306;5184280130620
842819231;2284281923120
842809133;5184280913320
842820590;4784282059020
842821333;2284282133320
842822061;4284282206120
842818694;8984281869420
842834069;2284283406920
842848394;2284284839420
842842603;9684284260320
842848135;2284284813520
842840763;8984284076320
842839159;8984283915920
842866177;4784286617720
842867167;4784286716720
842867435;4784286743520
842867304;4784286730420
842866813;4784286681320
842866977;4784286697720
842876969;8984287696920
842869313;2284286931320
842882642;4784288264220
842882439;4784288243920
842882349;4784288234920
842874757;4784287475720
842864999;4284286499920
842875934;8984287593420
842899591;8984289959120
842893307;4784289330720
842893592;4784289359220
842899313;8984289931320
842905102;8984290510220
842901340;2284290134020
842898289;2284289828920
842900616;8984290061620
842917149;5184291714920
842910315;5184291031520
842920413;5184292041320
842928105;5184292810520
842926452;2284292645220
842909358;2284290935820
842909856;8984290985620
842912481;8984291248120
842916838;2284291683820
842954136;5184295413620
842948588;5184294858820
842954010;4784295401020
842948146;5184294814620
842952543;4784295254320
842933193;8984293319320
842943774;8984294377420
842942938;8984294293820
842956618;8984295661820
842956594;8984295659420
842985042;8984298504220
842966984;8984296698420
842991657;5184299165720
842996105;2284299610520
842994558;2284299455820
843006989;8984300698920
842996286;2284299628620
843004262;2284300426220
843009218;8984300921820
842999948;8984299994820
843023936;2284302393620
843037449;2284303744920
843037728;2284303772820
843026546;2284302654620
843033069;5184303306920
843037852;9684303785220
843027359;9684302735920
843015035;8984301503520
843017794;8984301779420
843056646;3784305664620
843048551;3684304855120
843046960;5184304696020
843063283;3784306328320
843045289;3684304528920
843063226;2284306322620
